id;title;out
1;April;416
2;August;226
6;Art;88
8;A;107
9;Air;45
12;Autonomous_communities_of_Spain;48
13;Alan_Turing;47
14;Alanis_Morissette;78
17;Adobe_Illustrator;49
18;Andouille;13
19;Farming;123
21;Arithmetic;24
22;Addition;29
24;Albigensian;1
27;Australia;478
28;American_English;140
30;Aquaculture;55
32;Abbreviation;13
33;Angel;111
35;Ad_hominem;60
37;Native_American;44
39;Apple;175
41;American_Units_Of_Measurement;1
43;Abrahamic_religions;19
45;Algebra;106
46;As;1
47;Atom;218
48;Astronomy;119
49;Architecture;97
50;Anatomy;126
51;Asteroid;130
52;Afghanistan;421
53;Angola;179
54;Argentina;163
55;Austria;234
56;Armenia;226
57;Archaeology;47
58;Application;23
61;Animalia;1
62;Animal;133
63;Acceleration;35
68;Black_pudding;22
69;Boot_device;18
70;Boot;24
71;Bankruptcy;102
74;Breakfast_sausage;18
76;Browser;7
80;Beekeeping;9
83;British_English;73
85;Being;18
87;Bootstrap;1
88;Bootlace;1
89;Beijing;163
90;Bottle;13
91;Berry;92
93;Boil;3
94;Beard;8
98;Black;16
100;Bubonic_plague;60
101;Biology;201
102;Botany;36
103;Belgium;364
104;Brazil;163
105;Britain;1
108;Chemistry;96
109;Compound;2
110;Computer_science;122
112;Computer;180
114;Chinese;4
117;Continent;49
118;Classical_Elements;1
119;Classical_element;13
120;China;186
121;Country;38
122;Colchester;49
127;Cartography;88
129;Creator;23
131;Contact_network;3
133;Chorizo;19
134;Creativity;37
135;Catharism;54
136;Cosmology;82
142;Church_(building);80
143;Cities;1
144;City;159
146;Cooking;35
148;Chat;10
149;Cup;10
151;Crime;31
152;Countries;1
153;Time_Cube;18
156;Census_of_Marine_Life;8
158;Maize;45
159;Civics;108
161;Calculus;149
162;Coin;0
168;Comet;0
169;Cytology;0
170;Christian;0
171;Cheese;0
173;Constitution;0
180;Cube;0
185;December;0
186;Dublin;0
187;Dance;0
188;Dissolution_of_the_monasteries;0
195;Devil;0
203;Distance;0
207;Definition;0
208;Denmark;0
214;Embassy;0
216;Europe;0
218;Earth_science;0
219;Earth;0
224;Experiment;0
226;Ethics;0
234;Ethnic_group;0
243;Ecology;0
246;Economics;0
247;Chemical_element;0
248;Egypt;0
262;February;0
276;Financial_capital;0
280;Food;0
283;Fine;0
284;Frying;0
285;Fish;0
291;France;0
292;Finland;0
293;Fruit;0
294;Farm;0
296;Geography;0
299;Grammar;0
304;Glass;0
305;God;0
310;Google;0
312;Government;0
314;Galaxy;0
315;Geometry;0
316;Graph_theory;0
324;History;0
325;Health;0
332;Hawaii;0
342;History_of_Australia;0
353;Human_body;0
355;Hydrogen;0
357;Helium;0
359;Hair;0
361;Ireland;0
362;Internet;0
363;Italy;0
367;Island;0
368;Immigrant;0
391;India;0
394;Immunology;0
395;Infinity;0
400;January;0
401;June;0
402;July;0
403;Japan;0
408;Jupiter;0
410;King;0
414;Killing;0
418;Kilometer;0
419;Language;0
425;Life;0
426;Law;0
430;List_of_countries;0
434;Leap_year;0
443;Leather;0
444;License;0
448;List_of_mathematics_topics;0
452;List_of_common_elements;0
454;List_of_fruits;0
457;Legislature;0
459;Linear_algebra;0
460;London;0
465;Lime;0
467;Mathematics;0
468;March;0
469;May;0
472;Music;0
473;Madrid;0
479;Money;0
482;Multiplication;0
483;Microsoft;0
497;First_language;0
500;Mustache;0
505;Milky_Way;0
508;Movement;0
511;Metabolism;0
513;Mass;0
514;Mercury_(planet);0
515;Mars;0
517;Apple_Macintosh;0
520;Molecule;0
525;Mammal;0
528;Number;0
530;November;0
533;National_anthem;0
537;Network;0
542;Nauru;0
547;Nature;0
548;Natural;0
552;Natural_resource;0
557;North_America;0
558;Neptune;0
566;New_York_City;0
569;October;0
571;1_(number);0
578;Oil;0
587;Operating_system;0
590;Philosophy;0
591;Physics;0
592;Politics;0
600;People's_Republic_of_China;0
606;Political_party;0
626;Potato;0
628;Plant;0
631;Probability;0
636;Protein;0
637;Periodic_table;0
638;Physiology;0
639;Planet;0
642;Police;0
646;Plastic;0
647;Product_stewardship;0
653;Religion;0
664;Roman_Empire;0
677;Reward;0
679;Ranch;0
682;Substance;0
683;Symbol;0
684;September;0
686;Sound;0
687;Sports;0
689;Society;0
699;Sport;0
700;Science;0
710;Sausage;0
726;Social_capital;0
733;Subtraction;0
744;String_theory;0
748;Scientist;0
752;Supernatural;0
753;Spirit;0
765;Seed;0
772;Skin;0
789;Statistics;0
791;Speed;0
798;State;0
800;Solar_System;0
802;Saturn;0
803;Slavery;0
805;Soul;0
807;Soap;0
817;Steal;0
819;Theatre;0
823;Test;0
833;Taiwan;0
845;Ten_Commandments;0
847;Tree;0
849;Taxonomy;0
852;Temple;0
856;United_Kingdom;0
858;Universe;0
871;UK;0
876;United_States_customary_units;0
882;Uranus;0
884;University;0
885;Unix;0
895;Volume;0
896;Venus;0
897;Vatican_City;0
898;Velocity;0
905;World_Wide_Web;0
908;Website;0
912;Web_browser;0
927;Microsoft_Windows;0
928;Window;0
935;Wine;0
939;Water;0
942;War;0
943;Yiddish;0
944;Year;0
949;Chinese_language;0
950;0;0
954;Zoology;0
1586;Copyright;0
1718;Republic_of_China;0
1932;Jail;0
1933;Gaol;0
1934;Prison;0
1935;Mexico;0
1936;Atlantic_Ocean;0
1942;Africa;0
1943;Butter;0
1961;Mainland_China;0
1968;Capital_city;0
1970;Climate;0
1972;Volcanism;0
1975;Pacific_Ocean;0
1976;Antarctica;0
1977;South_Pole;0
1987;Software;0
1988;Container;0
1989;South_America;0
1994;Asia;0
1998;Coordinated_Universal_Time;0
1999;Television;0
2002;Sociology;0
2020;Beer;0
2025;Eurasia;0
2028;North_Pole;0
2029;Plural;0
2032;Oceania;0
2035;Catalan_language;0
2041;Pop_music;0
2061;Nitrogen;0
2081;Earthquake;0
2099;Ion;0
2106;People;0
2110;Anthropology;0
2113;Education;0
2114;Person;0
2115;Army;0
2120;Theology;0
2124;Romania;0
2126;Argon;0
2132;European_Union;0
2133;Greece;0
2136;Sweden;0
2138;Albert_Einstein;0
2139;Euro;0
2142;Radio_telescope;0
2159;Korea;0
2160;English_as_a_second_language;0
2161;Switzerland;0
2684;United_States_dollar;0
2810;Shape_of_the_universe;0
2816;Engineering;0
2817;Communication;0
2843;English_language;0
2860;Turkey;0
2866;Bible;0
2875;Rome;0
2876;Carnivore;0
2888;Senegal;0
2889;Developmental_biology;0
2899;Outer_space;0
2900;Natural_satellite;0
2901;Gravity;0
2904;Treaty;0
2906;Luxembourg;0
2908;Vienna;0
2911;Telescope;0
2915;Peru;0
2922;Berlin;0
2923;1930s;0
2924;1940s;0
2949;Oxygen;0
2950;Blood;0
2957;Computer_program;0
2958;Data;0
2964;Russia;0
2965;Moscow;0
2971;1974;0
2979;Iceland;0
2983;1965;0
2991;Russian_language;0
2999;1982;0
3009;California;0
3011;Topology;0
3015;Los_Angeles;0
3016;Census;0
3017;Star;0
3033;Leg;0
3035;Yellow;0
3045;Poland;0
3047;England;0
3048;Wales;0
3049;Scotland;0
3050;Northern_Ireland;0
3051;Great_Britain;0
3189;Asteroid_belt;0
3195;Democracy;0
3197;Games;0
3219;Time;0
3221;Laboratory_techniques;0
3257;Mixture;0
3258;Language_family;0
3260;Gold;0
3263;Meter;0
3266;Second;0
3280;Scientific_method;0
3283;Gas;0
3285;Wave_(physics);0
3309;Queen;0
3311;Female;0
3319;Paper;0
3325;States_of_matter;0
3328;Nation;0
3332;Metal;0
3334;Indonesia;0
3336;Property;0
3346;German_language;0
3361;Alaska;0
3364;Sculpting;0
3374;BBC;0
3398;Milk;0
3407;20th_century;0
3422;Brussels;0
3437;Platypus;0
3440;Kenya;0
3447;Elizabeth_II;0
3453;Hobby;0
3455;Hour;0
3460;Norway;0
3461;Albania;0
3462;Hungary;0
3463;Netherlands;0
3464;Ukraine;0
3465;Liechtenstein;0
3466;Portugal;0
3467;Slovakia;0
3468;Slovenia;0
3476;Culture;0
3486;Movie;0
3488;The_Netherlands;0
3489;Isotope;0
3493;Power_network;0
3494;Citizenship;0
3496;Buddhism;0
3506;Black_hole;0
3515;Fertilizer;0
3516;Military;0
3518;Photosynthesis;0
3523;Flea;0
3528;South_Africa;0
3529;Andorra;0
3537;Hiroshima;0
3539;Day;0
3541;Sphere;0
3584;Drink;0
3591;Yahoo!;0
3595;South;0
3596;Central_America;0
3597;French_language;0
3598;Prime_Minister;0
3599;Greenland;0
3600;Soviet_Union;0
3601;Monarch;0
3609;Information;0
3610;Airport;0
3620;Linux;0
3639;Sin;0
3640;Summer;0
3641;Month;0
3659;Electronics;0
3661;Photon;0
3662;Vector;0
3674;Bicycle;0
3680;Percentage;0
3681;Writing;0
3686;Book;0
3702;Memory;0
3705;Animals;0
3707;Bird;0
3715;Banana;0
3735;Lithium;0
3741;Data_compression;0
3742;Compiler;0
3750;Insect;0
3755;Computer_jargon;0
3759;Gross_domestic_product;0
3762;Cricket;0
3772;Iran;0
3777;North;0
3790;Election;0
3793;Medicine;0
3794;Transport;0
3798;Mauna_Kea;0
3821;Polymer;0
3837;Sunday;0
3838;Ottawa;0
3854;2001;0
3886;Poetry;0
3887;Literature;0
3888;Imagination;0
3914;Evidence;0
3922;Enzyme;0
3924;Mountain;0
3925;Machine_code;0
3926;Area;0
3928;Web_page;0
3936;Suffix;0
3937;Japanese_language;0
3940;Flavor;0
3944;Hubble_Space_Telescope;0
3954;2003;0
3955;1999;0
3956;1998;0
3957;1997;0
3959;1995;0
3960;1994;0
3961;1993;0
3963;1991;0
3964;2005;0
3965;2006;0
3967;1989;0
3974;Common_year;0
3975;Centuries;0
3978;19th_century;0
3985;Human_being;0
3986;Jungle;0
3987;Light;0
3990;Rain;0
3997;Gambling;0
4003;Time_zone;0
4004;Market;0
4006;Electron;0
4008;Chile;0
4009;Ambassador;0
4010;Monday;0
4013;Tax;0
4015;Florida;0
4017;Video_game;0
4022;2000;0
4025;Adelaide;0
4031;Lake;0
4033;East;0
4037;Population;0
4044;President;0
4046;List_of_colors;0
4052;Galileo_Galilei;0
4058;Solid;0
4060;Contract;0
4061;Face;0
4062;Kolkata;0
4069;Logic;0
4070;Communism;0
4073;Monarchy;0
4074;North_Korea;0
4075;Parliament;0
4076;Turing_test;0
4096;Estonia;0
4097;Cyprus;0
4098;Latvia;0
4099;Lithuania;0
4100;Malta;0
4105;Shaanxi;0
4110;Organic_compound;0
4114;Natural_gas;0
4115;Energy;0
4317;Xenon;0
4322;Speed_of_light;0
4329;Tokyo;0
4363;Material;0
